stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone
0101JHS,Jamhuri High School,-1.27335,36.82297,,,0
0101JLI,Jua Kali,-1.211161,36.874486,,,3
0101KAT,Kwa Njoki/Ack Thimbigwa,-1.183893,36.763636,,,2
0101KCK,Kenchic,-1.132763,36.697946,,,2
0101KHR,Kahawa Railways Roundabout,-1.185664,36.906667,,,3
0101KKB,Kamukabi,-1.222324,36.780623,,,2
0101KME,Kimera Medical Centre,-1.146608,36.716753,,,2
0101KOB,Kobil/Banana,-1.17466,36.759053,,,2
0101KTO,Kwa Moturi/Gachiraini,-1.20202,36.7662,,,2
0101LIK,Likoni,-1.178733,36.760654,,,2
0101LMA,Mlanda,-1.219961411,36.76738858,,,2
0101LMC,Limuru Catering,-1.124567,36.679518,,,2
0101LSC,Life Sanctuary Church/Muchatha Shopping Centre,-1.19145,36.775071,,,2
0101MCC,Muchatha Shopping Centre,-1.192055,36.775879,,,2
0101MCY,Mothers Mercys,-1.180059,36.725487,,,2
0101MDS,Muchatha Dispensary/Kwa Shule/Yamongo Drive,-1.189723,36.773257,,,2
0101MIC,Mary Immaculate Catholic Church/Muchatha Shopping Centre,-1.190698,36.774211,,,2
0101MIM,Mimosa,-1.212005,36.804767,,,2
0101M.K,K.M.,-1.16617772,36.91985339,,,3
0101MKB,Mkulima Supermarket/Banana,-1.175287,36.759291,,,2
0101MOM,Mombasa,-1.177906,36.760269,,,2
0101MRB,Maramba Tea Factory,-1.134492,36.703458,,,2
0101MTH,Muthaiga Junction,-1.228633,36.798518,,,2
0101MUC,Redeemed/Pefa Muchatha,-1.197213,36.782874,,,2
0101NDJ,Ndenderu Junction/Makutano,-1.192266,36.743758,,,2
0101N'G,Kwa Ng'ang'a,-1.217756635,36.77814424,,,2
0101NGG,Nyari Gate 3,-1.225371,36.785596,,,2
0101NJK,Kwa Njoki Kamili,-1.184899,36.764492,,,2
0101NRE,Nish Raaj Estate,-1.25862,36.81484,,,0
0101NRP,Roundabout Eastern Bypass,-1.155165,36.926129,,,3
0101NTO,Kwa Kanisa ACK/National Oil,-1.193291,36.777536,,,2
0101NYG,Nyari Gate 2,-1.225544,36.791386,,,2
0101NYP,Nyari Police,-1.225594,36.787764,,,2
0101NYR,Nyari/Barrier 1,-1.226487,36.795583,,,2
0101OOO,Githogoro,-1.216517419,36.82500243,,,2
0101OTA,National Oil,-1.193820602,36.74957335,,,2
0101PMR,Pm Flats/ Runda View,-1.20429,36.77439,,,2
0101PMV,Pm Flats/ Runda View 2,-1.20369,36.77218,,,2
0101POW,Power,-1.217477,36.778214,,,2
0101RCC,Ruaka Catholic Church,-1.2062,36.78055,,,2
0101RCK,Ruaka ACK Church,-1.20676,36.78382,,,2
0101RDC,Ruaka DC,-1.2065,36.78171,,,2
0101RED,Red Hill/Posta,-1.17081,36.708554,,,2
0101REE,Runda Estate Entrance,-1.2186,36.80168,,,2
0101REN,Redeemed Ndenderu,-1.19238,36.74504,,,2
0101RIE,Limuru Diaries,-1.125841,36.642507,,,2
0101RIH,Commissioner of Higher Education,-1.227861643,36.79806501,,,2
0101RJI,Ruiru Road Junction,-1.152135,36.91984,,,3
0101RKJ,Ruaka Junction,-1.207095981,36.78598166,,,2
0101RMY,Rumenye,-1.19961,36.75794,,,2
0101ROK,Rosslyn Road/Karura Community Chapel,-1.216499805,36.79930687,,,2
0101ROR,Rosslyn Road/Riviera,-1.217250824,36.80042267,,,2
0101RSH,Roslyn Heights,-1.223669,36.782832,,,2
0101RUA,Marurui,-1.210805833,36.8751812,,,3
0101RUD,Runda Road,-1.215523,36.815038,,,2
0101SDA,SDA Church,-1.223143,36.781961,,,2
0101SHR,Shakers/Rosslyn Gate,-1.21115,36.79024,,,2
0101SHT,Sacred Heart,-1.186283,36.767421,,,2
0101SLT,Slaughter,-1.20523,36.77754,,,2
0101STP,Stima Plaza,-1.27043,36.82048,,,0
0101TIG,Tigoni,-1.126739,36.671944,,,2
0101VRY,Victory,-1.181719,36.762391,,,2
0101WBR,Wambugu Road,-1.26799,36.82127,,,0
0101WIA,Kwa Kuria,-1.218400365,36.774652,,,2
0101WID,Windsor Advice,-1.215566,36.850327,,,3
0101YSA,Nyari West,-1.224193937,36.78374469,,,2
0101ZAK,Zakawa,-1.179181,36.760914,,,2
0102KHJ,Koja,-1.281428,36.822532,0.0,0002KOJ,0
0103MSQ,Kwa Mosque/Highridge Mwisho,-1.25687,36.81077,,,0
0110AAN,Oilibya/2nd Parklands Avenue,-1.264200211,36.8246913,,,0
0110ACG,Gachie,-1.181385845,36.7275551,,,2
0110AEA,Shell Banana,-1.175848246,36.75952971,,,2
0110AGK,Aga Khan Academy,-1.266404986,36.82319462,,,0
0110AIG,Gacharaini,-1.201715469,36.76474392,,,2
0110AOA,Mwambao,-1.256713003,36.82633013,,,0
0110AOH,Mama Shop,-1.1517528,36.93119645,,,3
0110APS,Aga Khan Hospital Stage,-1.26198,36.8227,,,0
0110APT,Aga Khan Hospital Stage 2,-1.26277,36.82467,,,0
0110ASP,Stima Plaza,-1.270036697,36.82055533,,,0
0110AST,Ambassadors Stage,-1.19864,36.75634,,,2
0110AUK,Karura,-1.24724865,36.81577563,,,0
0110BAA,Banana Terminus,-1.174235,36.758765,,,2
0110BDO,Boda,-1.210380524,36.78958386,,,2
0110BLV,6th Parklands Avenue/Regal House/Kobil,-1.257905424,36.82689607,,,0
0110BNI,Kobil banana,-1.174563825,36.75899327,,,2
0110BUK,Kabuku Junction Stage,-1.150767,36.668272,,,2
0110CEJ,Gacharage Junction,-1.20033,36.76062,,,2
0110COH,Gacharage Junction - Gachiraini Stage,-1.200470924,36.76059455,,,2
0110CUT,Karura Community Chapel,-1.215755707,36.79781556,,,2
0110DAS,Ridgeways Girls,-1.214993119,36.86438799,,,3
0110FRM,Muguku Farm,-1.17646,36.718384,,,2
0110FSA,Karura Forest/Belgian Embassy,-1.248370528,36.81659102,,,0
0110GAC,Gacharage,-1.192978352,36.74807936,,,2
0110GTH,Gathanga Stage/Kiambea,-1.198999,36.78444,,,2
0110HHH,JamhurI High,-1.272161007,36.82225585,,,0
0110HUN,5th parklands avenue,-1.260938644,36.82585001,,,0
0110IDR,City park drive,-1.257162094,36.82656348,,,0
0110ILU,Limuru Terminus,-1.108075708,36.64339274,,,2
0110IRT,Ngara,-1.274190277,36.82365865,0.0,0003NGR,0
0110ISR,Ruiru Prisons,-1.151870817,36.92952543,,,3
0110KAU,Kianjogu Stage,-1.180979,36.727015,,,2
0110KGQ,Highridge/Kwa Mosque/Mwisho,-1.256852478,36.81073576,,,0
0110KKB,Garage,-1.222414,36.780964,,,2
0110KRS,Karura Stage,-1.19437,36.73198,,,2
0110KSL,Nish Raaj Estate/Kusi Lane,-1.25864,36.81485,,,0
0110LAR,Rosslyn Riviera,-1.215369433,36.79668099,,,2
0110LCM,Decimal,-1.203015178,36.76999301,,,2
0110LHL,Full Gospel Church,-1.151017874,36.93746209,,,3
0110LIG,Kobil Gigiri,-1.239215791,36.81125343,,,0
0110LJA,Joyland,-1.204860538,36.77656978,,,2
0110MKT,Makutano,-1.159421,36.74364,,,2
0110MTS,Muthaiga Shopping Centre,-1.250537038,36.81984186,,,0
0110MYA,City Park Market,-1.261573166,36.8257615,,,0
0110NGP,Ndenderu Redeemed Gospel,-1.19222,36.74442,,,2
0110NKT,Nakumatt Stage,-1.26018,36.81855,,,0
0110NSG,Ndenderu Stage,-1.1926,36.74685,,,2
0110OLB,Blue Kiosk,-1.154766083,36.67294264,,,2
0110OVL,3rd Parklands Avenue/Aga Kan Hospital Junction,-1.2632415,36.82506412,,,0
0110PBS,Bypass,-1.204483509,36.78551495,,,2
0110PMA,Stima Plaza,-1.269993782,36.82060361,,,0
0110PMT,Pm Flats,-1.20375,36.77257,,,2
0110/PU,UNEP/KTTC,-1.238447195,36.81041658,,,0
0110R/B,Belgian Embassy/Karura,-1.246905327,36.81568444,,,0
0110REU,Rwenu,-1.194505692,36.73557758,,,2
0110REV,Two Rivers,-1.212894917,36.79242432,,,2
0110RID,Windsor Advice,-1.215743423,36.84993625,,,3
0110RIS,Two Rivers,-1.211571425,36.79079086,,,2
0110RNO,Rossyln,-1.233918071,36.80209637,,,2
0110ROA,Wambugu Road,-1.268078685,36.82123929,,,0
0110ROS,Rosslyn Total,-1.210405827,36.78973138,,,2
0110RRS,Two Rivers,-1.214472055,36.79485977,,,2
0110RTC,Ruaka Quickmart,-1.206689805,36.78235799,,,2
0110RTU,Kobil/Regal house/6th Parklands ave,-1.258020401,36.82704628,,,0
0110SAI,Stima Plaza,-1.272611618,36.82100058,,,0
0110SIH,Gasolina/Gichagi Mwisho,-1.219559079,36.76671803,,,2
0110SOI,Mimosa,-1.212091684,36.8047142,,,2
0110SPU,St. Paul's University Limuru,-1.147694,36.665794,,,2
0110SRT,Marurui Police Post,-1.214639872,36.86785609,,,3
0110SSA,Canadian embassy,-1.241283417,36.81334019,,,0
0110TAA,Stima Plaza,-1.269752383,36.82057947,,,0
0110TOH,Githogoro,-1.216533512,36.82539135,,,2
0110TPA,3rd Parklands Avenue/Aga Kan Hospital Junction,-1.263229251,36.82507753,,,0
0110TUQ,Equity,-1.205160946,36.77773386,,,2
0110TVM,Traveller's View Muchatha,-1.188491,36.771639,,,2
0110UMI,Mulima,-1.220399737,36.76975965,,,2
0110UMK,Mkulima supermarket,-1.175078809,36.75925076,,,2
0110UNA,UNEP/KTTC,-1.238032579,36.80994987,,,0
0110VKS,2nd Parklands Avenue,-1.264834642,36.82441235,,,0
0110VMT,Village Market,-1.23006,36.80399,,,2
0110WAM,Kwa Jeki,-1.194574,36.779445,,,2
0110WOJ,Maziwa Junction,-1.193992227,36.90453798,,,3
0110WRS,Two Rivers,-1.208241641,36.79728448,,,2
0110YIL,OiLibya/2nd Parklands Avenue,-1.26424849,36.82468057,,,0
0110YSP,City Park/5th Parklands Avenue,-1.261085039,36.82602704,,,0
01114IA,44 Githurai,-1.19544062,36.90279722,,,3
0111A26,Lane 26,-1.202558398,36.76809669,,,2
0111AAR,Ruaka,-1.207579493,36.78627133,,,2
0111ACP,Agha khan hospital junction/ 3rd parklands ave,-1.261894941,36.82537794,,,0
0111AES,Rosslyn Valley,-1.223200679,36.80257916,,,2
0111AIT,Muthaiga Mini Market,-1.250233166,36.82078838,,,0
0111AKA,Kwa Nyaga,-1.168398589,36.69651657,,,2
0111AKS,Aga Khan Hospital Stage,-1.26237,36.82369,,,0
0111ALA,Sahala,-1.20683468,36.79277837,,,2
0111AMB,Ambassadors Stage,-1.19859,36.75619,,,2
0111AMK,Kwa Mbao,-1.170485347,36.70516402,,,2
0111ARD,Kwa Daktari,-1.184670389,36.73256814,,,2
0111ATA,Total City Park,-1.259304017,36.82673782,,,0
0111AWM,Maziwa,-1.193209022,36.90509319,,,3
0111AXM,Maxx,-1.181895465,36.72843486,,,2
0111AYS,Gitambaya Police Post,-1.149767965,36.94896609,,,3
0111BAA,Banana Terminus,-1.174015,36.75884,,,2
0111BAG,ACK Thibigwa,-1.181042522,36.76208586,,,2
0111BEK,Belgian Embassy/Karura,-1.24701,36.8156,,,0
0111BPY,Bypass,-1.205770969,36.77934051,,,2
0111BUK,Kabuku Stage,-1.154742,36.674973,,,2
0111CEP,PCEA,-1.189026296,36.7375356,,,2
0111CNT,Container,-1.197221607,36.89955175,,,3
0111CRA,Car Wash,-1.21710754,36.77706063,,,2
0111EDH,The Dam,-1.170045465,36.70123726,,,2
0111EED,Ndenderu,-1.192216605,36.74356252,,,2
0111ENP,Dispenser,-1.190345943,36.73904836,,,2
0111EYE,Membley,-1.156393021,36.92510515,,,3
0111FRM,Muguku Farm/GD,-1.176554,36.718575,,,2
0111GIE,Sovereign,-1.16958949,36.70015901,,,2
0111GIM,Muthaiga Mini Market,-1.2501508,36.82074845,,,0
0111HDE,Shade,-1.193895668,36.74959213,,,2
0111HRT,Mothero,-1.166445136,36.69361711,,,2
0111IAC,Pa Machiri,-1.172893971,36.71205729,,,2
0111ICT,Quickmart,-1.206678271,36.78331017,,,2
0111IGA,Gacharaini,-1.201393604,36.76348329,,,2
0111IGK,Kobil Gigiri,-1.23922956,36.81144118,,,0
0111IME,Milele,-1.201035708,36.76265985,,,2
0111ISE,Site,-1.178182483,36.72254205,,,2
0111JEK,Kwa Njoki,-1.194099,36.778615,,,2
0111JM,JM,-1.188322037,36.90638065,,,3
0111KAN,Aga Khan,-1.262254447,36.82536989,,,0
0111KAU,Kianjogu Stage,-1.181209,36.727208,,,2
0111KEA,Kiambea,-1.198614,36.784122,,,2
0111KIV,Kibutu Stage/Bread of Life,-1.188314,36.771234,,,2
0111KNA,Kona,-1.220945,36.778584,,,2
0111KNE,Aga Khan Entrance,-1.261342496,36.82584196,,,0
0111KOG,Kobil Gigiri,-1.239407301,36.81168795,,,0
0111KRU,Karura/Runda,-1.22082,36.80136,,,2
0111LIS,Emsoil,-1.195987791,36.75258547,,,2
0111LON,Joyland,-1.204928756,36.77661002,,,2
0111LSO,Chantilly School,-1.180808008,36.76191151,,,2
0111MAO,Mwambao,-1.256381929,36.82609141,,,0
0111MCM,Mirai Court/Mifereji,-1.20322,36.77046,,,2
0111MIF,Mfereji,-1.203888774,36.77303195,,,2
0111MKT,Makutano,-1.159354,36.743484,,,2
0111MME,Muthaiga Mini Market,-1.250145435,36.820786,,,0
0111MRE,Muthaiga Mini Market,-1.25019908,36.82072967,,,0
0111NDS,Ndenderu Stage/Shell,-1.19303,36.74802,,,2
0111NKM,Nakumatt/Post Office,-1.26012,36.81825,,,0
0111NMO,Ngomongo,-1.200252503,36.89471304,,,3
0111NOI,Kia Njogu,-1.183815926,36.73128337,,,2
0111NTA,Muthaiga Mini Market,-1.250145435,36.82079136,,,0
0111.OJ,O.J.,-1.153206557,36.92035228,,,3
0111OJC,Jowac,-1.193359226,36.74874991,,,2
0111OLB,OiLibya/2nd Parklands Avenue,-1.26469,36.82432,,,0
0111OLS,Total Rosslyn,-1.21055907,36.78952754,,,2
0111RAU,Quarry,-1.207043856,36.88213885,,,3
0111RHK,6th Parklands Avenue/Regal House/Kobil,-1.25777,36.82691,,,0
0111RHR,Redhill Road/Polish Embassy,-1.234529614,36.80346429,,,2
0111RNE,Rwenu,-1.193967312,36.74329042,,,2
0111RNI,Container,-1.204575419,36.77539229,,,2
0111ROT,Two Rivers,-1.214563251,36.79482222,,,2
0111RPS,Ruiru Prisons,-1.151827,36.929292,,,3
0111RRY,Fairy Flowers,-1.164890259,36.69146866,,,2
0111RST,Ruaka Stage/Tuskys,-1.207146,36.785877,,,2
0111SAR,Carwash,-1.20097053,36.78517699,,,2
0111SNH,Shell Banana,-1.175822139,36.75949216,,,2
0111SPS,Stima Plaza Stage,-1.2696,36.8204,,,0
0111SPU,St. Paul's University Limuru,-1.148257,36.666204,,,2
0111TNN,Aga Khan Entrance,-1.26143825,36.82573199,,,0
0111TOE,Two Rivers,-1.214559316,36.79499388,,,2
0111TRI,Little Servant,-1.186605424,36.76822275,,,2
0111TRV,Two Rivers,-1.214520335,36.79460764,,,2
0111TUN,UNEP/Gigiri/KTTC,-1.238681674,36.81054533,,,0
0111TVI,Kwa Viti,-1.186836094,36.73504382,,,2
0111.UK,K.U.,-1.174814433,36.9143039,,,3
0111UKG,Kwa Njogu,-1.192592114,36.74655586,,,2
0111USA,Kwa Sukuma,-1.178994834,36.72388852,,,2
0111VMA,Village Market,-1.22876,36.80443,,,2
0111VWS,Two Rivers,-1.208490729,36.79807305,,,2
0111WNA,Kwa Kiwanja,-1.170839399,36.91703171,,,3
0111WRB,Kwa Bendera,-1.16908443,36.69846654,,,2
0111YSB,Bypass,-1.204768538,36.7854774,,,2
0112LKT,Koja,-1.28127,36.822572,0.0,0002KOJ,0
0112POL,Junction/Poland Embassy,-1.234835,36.803782,,,2
0113BAA,Banana Terminus,-1.17383,36.758605,,,2
0113GCH,Gasolina/Gichagi Mwisho,-1.219641,36.766688,,,2
0113KAR,Karura Mwisho,-1.19435,36.73204,,,2
0113LMD,Limuru Terminus,-1.108043,36.643534,,,2
0113RST,Ruaka Stage,-1.20717,36.78571,,,2
02002IE,Riverside 2,-1.249605149,36.87796533,,,3
0200AAK,Kwa Wachina,-1.222993612,36.90709734,,,3
0200ACM,Mwisho wa Chuma,-1.163516968,36.95318073,,,3
0200AKN,Guru Nanak,-1.270181537,36.83269501,,,0
0200AKO,Mpaka road,-1.264947295,36.80466485,,,0
0200APZ,Stima Plaza,-1.269631863,36.82072163,,,0
0200AVS,Naivas,-1.247291565,36.87247753,,,3
0200BBC,Baba Dogo Catho,-1.244169474,36.88507318,,,3
0200BDJ,Baba Dogo Junction/Dawa,-1.247259378,36.87438726,,,3
0200BER,Redeemed Ndumberi,-1.152985096,36.80867314,,,2
0200BLN,Balkan Sec School,-1.21242,36.83392,,,3
0200BUL,Bull and Bush,-1.217508,36.897464,,,3
0200BWD,Kasarini/Paradise Lost,-1.205964088,36.83213711,,,2
0200CRN,Stima,-1.224013,36.908204,,,3
0200DAU,Mwandus,-1.161258459,36.82121515,,,2
0200DBR,Nduberi Factory,-1.140917,36.805701,,,2
0200DEC,Deliverance Church,-1.241361,36.894047,,,3
0200DMD,Diamond Flats,-1.20399,36.83301,,,2
0200DRU,Muslim Road,-1.27554059,36.83127344,,,0
0200EAC,Cinema,-1.252898902,36.89722359,,,3
0200EBR,Roundabout,-1.15516305,36.92666352,,,3
0200EEE,Redeemed Ngemwa,-1.117368221,36.8161726,,,2
0200EIE,Ridgeviews,-1.223405331,36.83767051,,,3
